,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2,RF_Run_0_CV_3,RF_Run_0_CV_4,RF_Run_1_CV_0,RF_Run_1_CV_1,RF_Run_1_CV_2,RF_Run_1_CV_3,RF_Run_1_CV_4,RF_Run_2_CV_0,RF_Run_2_CV_1,RF_Run_2_CV_2,RF_Run_2_CV_3,RF_Run_2_CV_4,RF_Run_3_CV_0,RF_Run_3_CV_1,RF_Run_3_CV_2,RF_Run_3_CV_3,RF_Run_3_CV_4,RF_Run_4_CV_0,RF_Run_4_CV_1,RF_Run_4_CV_2,RF_Run_4_CV_3,RF_Run_4_CV_4
35,OTU_F_25850,OTU_F_81595,OTU_F_81595,OTU_B_14674,OTU_F_82508,OTU_B_65162,OTU_F_40614,OTU_F_30942,OTU_B_17455,OTU_F_52191,OTU_F_30448,OTU_B_21457,OTU_B_23956,OTU_B_29197,OTU_F_62992,OTU_F_25053,OTU_F_81595,OTU_B_17455,OTU_B_731894,OTU_B_56945,OTU_B_67783,OTU_B_21454,OTU_F_30429,OTU_B_54487,OTU_F_30509
36,OTU_B_57075,OTU_B_64987,OTU_B_67783,OTU_F_25053,OTU_B_140508,OTU_B_22182,OTU_F_25053,OTU_B_121783,OTU_B_57075,OTU_F_30486,OTU_B_54487,OTU_F_68256,OTU_F_30509,OTU_F_82508,OTU_B_73408,OTU_F_31566,OTU_B_21457,OTU_F_81595,OTU_F_52191,OTU_B_64987,OTU_F_40614,OTU_B_22182,OTU_F_30394,OTU_F_68256,OTU_F_82508
37,OTU_B_67783,OTU_F_30448,OTU_B_29197,OTU_B_29197,OTU_F_247,OTU_F_247,OTU_B_67783,OTU_B_22182,OTU_B_21457,OTU_B_54523,OTU_F_40614,OTU_B_21434,OTU_B_57075,OTU_B_40091,OTU_B_21457,OTU_F_30394,OTU_B_57075,OTU_F_25540,OTU_B_23956,OTU_B_22182,OTU_B_140508,OTU_F_247,OTU_B_17455,OTU_B_67783,OTU_B_64987
38,OTU_B_553579,OTU_F_68256,OTU_F_25540,OTU_B_27711,OTU_B_67783,OTU_B_67783,OTU_B_57075,OTU_B_54487,OTU_B_21454,OTU_F_40614,OTU_F_30394,OTU_B_553579,OTU_B_21454,OTU_B_14674,OTU_B_57075,OTU_B_23956,OTU_F_30448,OTU_B_121783,OTU_F_30486,OTU_B_54487,OTU_F_25540,OTU_F_25053,OTU_B_121783,OTU_B_22182,OTU_F_25053
39,OTU_F_30394,OTU_B_67783,OTU_B_54487,OTU_F_30942,OTU_F_31566,OTU_B_64987,OTU_F_30509,OTU_F_40614,OTU_F_81595,OTU_F_82508,OTU_B_67783,OTU_B_54487,OTU_F_25540,OTU_F_138012,OTU_B_27711,OTU_B_21454,OTU_B_54487,OTU_F_82508,OTU_F_30394,OTU_F_40614,OTU_F_30502,OTU_B_17455,OTU_F_30448,OTU_F_30394,OTU_B_29197
40,OTU_F_52191,OTU_B_21457,OTU_F_30394,OTU_B_54523,OTU_F_30854,OTU_B_14674,OTU_B_29197,OTU_B_29197,OTU_F_68256,OTU_F_30394,OTU_F_25850,OTU_F_15700,OTU_B_64987,OTU_F_247,OTU_F_25053,OTU_B_54523,OTU_B_27711,OTU_F_30854,OTU_F_54660,OTU_B_57075,OTU_B_29197,OTU_F_30394,OTU_B_54523,OTU_F_138012,OTU_B_27711
41,OTU_B_21434,OTU_B_21454,OTU_B_65162,OTU_F_17467,OTU_B_57075,OTU_B_29197,OTU_F_247,OTU_F_52191,OTU_F_15700,OTU_F_25540,OTU_B_64987,OTU_F_247,OTU_B_731894,OTU_B_23956,OTU_F_40614,OTU_F_247,OTU_F_30429,OTU_F_30429,OTU_F_30448,OTU_F_1435,OTU_F_30394,OTU_F_25850,OTU_B_57075,OTU_B_140508,OTU_F_68256
42,OTU_F_97887,OTU_B_57075,OTU_F_31566,OTU_F_30502,OTU_B_22182,OTU_B_57075,OTU_B_140508,OTU_F_247,OTU_F_30486,OTU_F_68256,OTU_B_21454,OTU_F_25053,OTU_B_21457,OTU_B_731894,OTU_B_17455,OTU_B_140508,OTU_F_97887,OTU_B_14674,OTU_B_27711,OTU_F_97887,OTU_B_54487,OTU_B_121783,OTU_B_73408,OTU_B_21454,OTU_B_140508
43,OTU_F_25540,OTU_B_27711,OTU_B_22182,OTU_F_25850,OTU_F_30509,OTU_F_25540,OTU_F_30448,OTU_F_25053,OTU_F_247,OTU_B_21457,OTU_B_27711,OTU_B_21454,OTU_F_138012,OTU_B_64987,OTU_F_30448,OTU_F_40614,OTU_B_14674,OTU_B_21457,OTU_B_553579,OTU_F_30407,OTU_F_138012,OTU_B_27711,OTU_B_27711,OTU_B_21434,OTU_B_67783
44,OTU_B_54487,OTU_F_62992,OTU_F_30486,OTU_B_26279,OTU_B_17455,OTU_F_30942,OTU_F_52191,OTU_B_54523,OTU_F_25053,OTU_F_30429,OTU_F_38826,OTU_B_73408,OTU_F_30502,OTU_B_54523,OTU_B_14674,OTU_F_82508,OTU_B_140508,OTU_B_553579,OTU_B_65162,OTU_B_140508,OTU_B_26279,OTU_F_30448,OTU_F_138012,OTU_F_31350,OTU_F_247
