0,p-value,Adj p-value
OTU_B_1855776,0.065,0.17626401446654613
OTU_B_243533,0.51,0.7104468183929401
OTU_B_1856312,1.0,1.0
OTU_B_753968,0.143,0.31207567488903437
OTU_B_1561582,0.399,0.6014680337756334
OTU_B_40089,0.013,0.05060955347871235
OTU_B_146868,0.016,0.06026271505713927
OTU_B_1526883,0.56,0.7328527794746488
OTU_B_772045,0.148,0.31753458759567926
OTU_B_40081,0.146,0.3156142424679256
OTU_B_663023,0.001,0.005457059679767104
OTU_B_146862,0.167,0.3413756815703381
OTU_B_137187,0.655,0.8215096391084348
OTU_B_1145371,0.072,0.19032469592808038
OTU_B_40086,0.001,0.005457059679767104
OTU_B_1662732,0.089,0.22240359940009996
OTU_B_142345,0.034,0.11001488833746899
OTU_B_1243244,0.003,0.014229954135695081
OTU_B_793460,0.292,0.5070146471371505
OTU_B_781251,0.366,0.5759219307450157
OTU_B_786570,0.002,0.010009010512264308
OTU_B_678620,1.0,1.0
OTU_B_1612730,0.02,0.07201824948973466
OTU_B_781257,1.0,1.0
OTU_B_169610,0.078,0.2023681660899654
OTU_B_84488,0.423,0.6278948775055678
OTU_B_769807,1.0,1.0
OTU_B_157244,0.004,0.018332518337408316
OTU_B_132805,0.001,0.005457059679767104
OTU_B_84483,0.172,0.349192716442158
OTU_B_40225,0.632,0.8021898514537222
OTU_B_516819,0.29,0.5057378764972671
OTU_B_40226,0.875,1.0
OTU_B_40221,0.001,0.005457059679767104
OTU_B_438387,0.049,0.14393809990205683
OTU_B_40223,0.077,0.20031086824529448
OTU_B_347036,0.28,0.49723251820711706
OTU_B_1537319,0.001,0.005457059679767104
OTU_B_267088,0.275,0.4935256103398756
OTU_B_40229,0.24,0.45387981587741977
OTU_B_40228,0.029,0.0972786041829773
OTU_B_782050,0.504,0.705397732045359
OTU_B_151716,0.001,0.005457059679767104
OTU_B_34258,0.336,0.5465216118010738
OTU_B_187088,0.001,0.005457059679767104
OTU_B_108451,1.0,1.0
OTU_B_724111,0.191,0.3800485636568699
OTU_B_275243,0.001,0.005457059679767104
OTU_B_794168,0.002,0.010009010512264308
OTU_B_149357,0.001,0.005457059679767104
OTU_B_730322,0.231,0.4408904161893853
OTU_B_757773,0.152,0.3224033946251768
OTU_B_136586,0.001,0.005457059679767104
OTU_B_136589,0.552,0.7265363584499934
OTU_B_1063330,0.355,0.5673643823936907
OTU_B_232617,0.538,0.7201185343865757
OTU_B_117724,0.019,0.06926558891454965
OTU_B_1185383,0.327,0.5355129409195151
OTU_B_34301,0.001,0.005457059679767104
OTU_B_34300,0.001,0.005457059679767104
OTU_B_788108,0.657,0.8230199649152118
OTU_B_34302,0.006,0.025978345604157644
OTU_B_114536,0.039,0.12251890646276317
OTU_B_115367,0.236,0.4482370970806155
OTU_B_34309,0.003,0.014229954135695081
OTU_B_778445,0.295,0.5089530602853198
OTU_B_1012032,0.031,0.10254240652917172
OTU_B_788101,0.14,0.30880929616827246
OTU_B_446527,0.001,0.005457059679767104
OTU_B_751652,0.021,0.07489084423305589
OTU_B_994557,1.0,1.0
OTU_B_228921,0.19,0.37846051670319447
OTU_B_145595,0.14,0.30880929616827246
OTU_B_73668,0.048,0.14204400592007893
OTU_B_731814,0.01,0.040252315125486514
OTU_B_114272,0.662,0.826728181212525
OTU_B_1597419,0.151,0.3210315446232367
OTU_B_73662,0.025,0.08636258926514628
OTU_B_282228,0.002,0.010009010512264308
OTU_B_73660,0.001,0.005457059679767104
OTU_B_73667,0.445,0.652
OTU_B_73666,0.073,0.1923070707070707
OTU_B_73665,0.534,0.7193777180004484
OTU_B_197272,0.502,0.703616412748855
OTU_B_752614,0.048,0.14204400592007893
OTU_B_788400,0.46,0.6667465687222115
OTU_B_471696,0.001,0.005457059679767104
OTU_B_384214,0.546,0.7233372498785282
